vaccine,activity_type,country_code,year,age_first,age_last,coverage
RCV2,routine,ZMB,1980,2,2,0
RCV2,routine,ZMB,1981,2,2,0
RCV2,routine,ZMB,1982,2,2,0
RCV2,routine,ZMB,1983,2,2,0
RCV2,routine,ZMB,1984,2,2,0
RCV2,routine,ZMB,1985,2,2,0
RCV2,routine,ZMB,1986,2,2,0
RCV2,routine,ZMB,1987,2,2,0
RCV2,routine,ZMB,1988,2,2,0
RCV2,routine,ZMB,1989,2,2,0
RCV2,routine,ZMB,1990,2,2,0
RCV2,routine,ZMB,1991,2,2,0
RCV2,routine,ZMB,1992,2,2,0
RCV2,routine,ZMB,1993,2,2,0
RCV2,routine,ZMB,1994,2,2,0
RCV2,routine,ZMB,1995,2,2,0
RCV2,routine,ZMB,1996,2,2,0
RCV2,routine,ZMB,1997,2,2,0
RCV2,routine,ZMB,1998,2,2,0
RCV2,routine,ZMB,1999,2,2,0
RCV2,routine,ZMB,2000,2,2,0
RCV2,routine,ZMB,2001,2,2,0
RCV2,routine,ZMB,2002,2,2,0
RCV2,routine,ZMB,2003,2,2,0
RCV2,routine,ZMB,2004,2,2,0
RCV2,routine,ZMB,2005,2,2,0
RCV2,routine,ZMB,2006,2,2,0
RCV2,routine,ZMB,2007,2,2,0
RCV2,routine,ZMB,2008,2,2,0
RCV2,routine,ZMB,2009,2,2,0
RCV2,routine,ZMB,2010,2,2,0
RCV2,routine,ZMB,2011,2,2,0
RCV2,routine,ZMB,2012,2,2,0
RCV2,routine,ZMB,2013,2,2,0
RCV2,routine,ZMB,2014,2,2,0
RCV2,routine,ZMB,2015,2,2,0
RCV2,routine,ZMB,2016,2,2,0
RCV2,routine,ZMB,2017,2,2,0
RCV2,routine,ZMB,2018,2,2,0
RCV2,routine,ZMB,2019,2,2,0
RCV2,routine,ZMB,2020,2,2,0
RCV2,routine,ZMB,2021,2,2,0
RCV2,routine,ZMB,2022,2,2,0
RCV2,routine,ZMB,2023,2,2,0
RCV2,routine,ZMB,2024,2,2,0
